urbanicity,total_eligible_children,desert_eligible_children,no_access_eligible_children,pct_eligible_in_desert,pct_eligible_no_access
Rural,728790.4989559656,704200.7678416646,343108.139650154,96.6,47.1
Urban,3047521.9964658543,3037422.9266044763,563869.942557659,99.7,18.5
