rural,total_eligible_children,eligible_in_other_zero,eligible_in_hs_any_others_zero,pct_of_other_zero_eligible
0,3047521.9964658543,94824.88904325535,3749.9479954508224,3.95
1,728790.4989559656,177126.26391309063,9554.881631685312,5.39
