"GEOID","NAMELSAD","state_abbrv","total_children","desert_children","pct_in_desert"
"3609","Congressional District 9","NY",62940,5990,9.51700031776295
"3610","Congressional District 10","NY",50460,4480,8.87831946095918
"3612","Congressional District 12","NY",36850,3100,8.41248303934871
"3903","Congressional District 3","OH",62850,5160,8.21002386634845
"1227","Congressional District 27","FL",45830,3410,7.44054113026402
"4807","Congressional District 7","TX",63380,4240,6.6898075102556
"3613","Congressional District 13","NY",51660,3120,6.03948896631823
"1198","Delegate District (at Large)","DC",49090,2650,5.39824811570585
"3615","Congressional District 15","NY",60270,3070,5.09374481499917
"2507","Congressional District 7","MA",44000,2180,4.95454545454545
"3911","Congressional District 11","OH",50890,2300,4.51955197484771
"4203","Congressional District 3","PA",49680,610,1.22785829307568
