state_name,total_children,pct_zero_supply,pct_low_supply,pct_desert,mean_supply
Puerto Rico,13024,100,100,100,0
Alaska,5596,85.22158684774838,95.2108649035025,96.51536812008578,0.080864346302972
Hawaii,9862,85.77367673899818,92.19225309267897,95.87304806327317,0.037534930772879734
Idaho,13632,12.118544600938968,37.874119718309856,83.42869718309859,0.20663291451665855
Kansas,21087,9.89235073742116,41.793522075212216,81.96993408261014,0.21364262331350395
Montana,7053,26.15908124202467,52.190557209698,68.70835105628811,0.27748248847940055
Nevada,21140,4.087038789025544,20.33585619678335,66.83065279091768,0.28164065151823997
Indiana,49271,9.867873597044916,36.13078687260254,65.28586795478071,0.2738962455716936
Washington,52228,7.185800719920349,27.661407674044575,64.00589721988206,0.2956785173091949
West Virginia,10526,15.26695800874026,43.34980049401482,59.02527075812274,0.48503885422208665
Virginia,59319,6.918525261720528,27.138016487128912,57.344189888568586,0.34216740584652444
Utah,28369,5.534209876978392,22.82068455003701,57.07286122175614,0.3237238923718325
California,265295,2.533783147062704,13.713036431142688,56.29167530484932,0.32800393760924956
North Carolina,71063,5.466980003658725,32.495109972841,55.67032070134951,0.3983140612924637
Tennessee,49002,9.044528794743071,35.22305212032162,54.707971103220274,0.39552039480159634
Alabama,35415,12.370464492446704,38.607934491034875,54.07878017789073,0.4626952055794527
Mississippi,21116,20.013260087137716,43.72987308202311,53.77438908884259,0.6389926401175939
Wisconsin,38351,7.559124925034549,29.05269745247842,53.74827253526635,0.4054592261749256
Arkansas,22224,15.289776817854573,39.55183585313175,52.41180705543557,0.5336184349463726
Kentucky,31744,12.613407258064516,37.008568548387096,51.99722782258065,0.4782951272728661
Maine,7653,12.321965242388606,37.710701685613486,50.960407683261465,0.6344082842491005
Michigan,65839,4.052309421467519,20.22205683561415,49.67876182809581,0.4359152704454363
Louisiana,34763,7.85605385035814,28.947444121623565,49.495152892443116,0.42339439276624996
Illinois,85179,3.390507049859707,16.379624085748834,49.27740405499008,0.37099883057305005
Missouri,43316,10.28026595253486,29.896574014221073,49.25200849570597,0.4214029161027595
South Dakota,7087,22.195569352335262,39.70650486806829,48.70890362635812,0.53223997133953
Wyoming,3832,23.173277661795407,38.282881002087684,48.1732776617954,0.5018969487972479
Arizona,47930,4.967661172543292,17.34404339662007,47.98247444189443,0.41454274891742066
South Carolina,34619,6.331783124873624,32.378173835177215,47.60680551142436,0.5905601384284732
New Hampshire,7573,5.361151459131124,30.70117522778291,46.494123861085434,0.5963442483226103
Vermont,3342,9.425493716337522,34.79952124476362,45.362058647516456,0.7881823089636234
Pennsylvania,82334,5.104816965044817,25.593315033886366,45.24011951320232,0.5265731909886741
Georgia,76443,5.994008607720786,26.6342241931897,45.202307601742476,0.48999077918106254
Colorado,37792,5.297417442845047,16.990368331922102,45.030694326841655,0.43154394037145793
Oklahoma,29614,7.695684473559802,25.143513203214695,44.35064496521915,0.453456483346456
Oregon,25444,7.64816852696117,20.063669234397107,44.187234711523345,0.4246744807996604
North Dakota,6282,19.149952244508118,35.880292900350206,43.79178605539637,0.6398502223988706
New Mexico,13318,11.488211443159633,27.796966511488215,42.83676227661811,0.5221293755967825
Rhode Island,6410,1.8096723868954758,12.496099843993761,36.926677067082686,0.421712714217379
Iowa,22947,8.558853009107944,26.99263520285876,36.01342223384321,0.6739513003649634
New York,131124,2.6494005674018486,12.717732833043533,34.502455690796495,0.41994592727791863
Florida,133564,3.917223203857327,17.653709083285914,34.47336108532239,0.595470523291075
Maryland,43069,1.388469664956233,11.288862058557198,34.377394413615356,0.494418109452312
Minnesota,40786,4.629039376256559,17.376060412886773,33.030941989898494,0.5892474198942569
Ohio,80775,3.273290003095017,19.3785205818632,32.50015475085113,0.6399624453018867
Texas,231484,4.436159734582088,16.141936375732232,31.282939641616696,0.5869852570701467
Connecticut,21707,0.8384392131570461,12.93591928870871,30.073248260929653,0.5655302374670488
Delaware,6547,0.6567893691767221,13.196884069039255,26.19520391018787,0.8212575238972666
Nebraska,15039,5.572179001263382,17.574306802313984,25.659950794600704,0.7518571616426308
New Jersey,63147,1.0277606220406352,6.939363706906108,25.226851631906506,0.543912320567961
Massachusetts,41947,1.2491954132595895,7.845614704269674,21.398431353851286,0.634133883943274
District of Columbia,4916,0.18307567127746135,0.9357200976403581,5.390561432058584,0.7628351389703275
